# t	x_motor	v_motor	x_cargo	v_cargo	s	E_motor_kin	E_cargo_kin	E_pot_motor	E_spring	E_total
0	0	0	0.1	0	0	0	0	0	0.02	0.02
0.001	-6.65936e-06	-0.00685933	0.0999978	-0.00214582	0	1.17626e-05	6.90683e-06	1.10868e-10	0.0200009	0.0200196
0.002	-1.69417e-05	-0.0104822	0.099996	-0.00178934	0	2.74693e-05	4.8026e-06	7.1755e-10	0.0200026	0.0200349
0.003	-3.00299e-05	-0.0132881	0.099994	-0.00194777	0	4.41432e-05	5.69069e-06	2.25448e-09	0.0200048	0.0200546
0.004	-4.36379e-05	-0.0138079	0.0999934	-0.000622384	0	4.76644e-05	5.81043e-07	4.76067e-09	0.0200074	0.0200557
0.005	-5.95422e-05	-0.016104	0.0999903	-0.00304538	0	6.48347e-05	1.39115e-05	8.86318e-09	0.02001	0.0200887
0.006	-7.06648e-05	-0.0113223	0.099987	-0.00328362	0	3.20486e-05	1.61732e-05	1.24838e-08	0.0200115	0.0200598
0.007	-8.55562e-05	-0.0150911	0.0999797	-0.00718613	0	5.69353e-05	7.74606e-05	1.82997e-08	0.0200131	0.0201475
0.008	-9.83384e-05	-0.0129818	0.0999718	-0.00787587	0	4.21316e-05	9.30439e-05	2.41761e-08	0.020014	0.0201492
0.009	-0.000112429	-0.0142906	0.0999644	-0.00741494	0	5.10551e-05	8.24719e-05	3.1601e-08	0.0200154	0.0201489
0.01	-0.000129339	-0.0171089	0.0999589	-0.00546607	0	7.31789e-05	4.48169e-05	4.18214e-08	0.0200176	0.0201357
0.011	-0.000142665	-0.0135255	0.0999514	-0.00749448	0	4.57348e-05	8.42509e-05	5.08833e-08	0.0200188	0.0201488
0.012	-0.000160351	-0.017885	0.0999413	-0.00998276	0	7.99683e-05	0.000149483	6.42809e-08	0.0200203	0.0202499
0.013	-0.000179704	-0.0195523	0.0999355	-0.00580392	0	9.55735e-05	5.05282e-05	8.07337e-08	0.020023	0.0201692
0.014	-0.000196182	-0.0166768	0.0999306	-0.0049165	0	6.95286e-05	3.6258e-05	9.6218e-08	0.0200254	0.0201312
0.015	-0.000212329	-0.0163465	0.0999276	-0.00293193	0	6.68022e-05	1.28943e-05	1.12709e-07	0.020028	0.0201078
0.016	-0.000228749	-0.0166191	0.0999251	-0.00244514	0	6.9049e-05	8.96806e-06	1.30815e-07	0.0200308	0.0201089
0.017	-0.000237503	-0.00895288	0.0999248	-0.000292711	0	2.00385e-05	1.28519e-07	1.41019e-07	0.0200325	0.0200528
0.018	-0.000244948	-0.00764365	0.0999281	0.00330731	0	1.46063e-05	1.64075e-05	1.49998e-07	0.0200346	0.0200658
0.019	-0.000258912	-0.0141628	0.0999317	0.00363755	0	5.01461e-05	1.98477e-05	1.67588e-07	0.0200381	0.0201083
0.02	-0.000274371	-0.0156581	0.0999328	0.00112314	0	6.12944e-05	1.89216e-06	1.88198e-07	0.0200414	0.0201048
0.021	-0.000281076	-0.00690429	0.0999318	-0.000918392	0	1.19173e-05	1.26517e-06	1.9751e-07	0.0200426	0.020056
0.022	-0.00028486	-0.0039826	0.0999292	-0.00254356	0	3.96527e-06	9.70457e-06	2.02863e-07	0.0200428	0.0200567
0.023	-0.000295041	-0.0103798	0.0999248	-0.00436701	0	2.6935e-05	2.86062e-05	2.17623e-07	0.020044	0.0200998
0.024	-0.000306993	-0.0121509	0.0999183	-0.00653027	0	3.69113e-05	6.39666e-05	2.35612e-07	0.0200451	0.0201462
0.025	-0.000313945	-0.00714985	0.099915	-0.00325709	0	1.27801e-05	1.5913e-05	2.46403e-07	0.0200458	0.0200747
0.026	-0.000318896	-0.00514983	0.099914	-0.00098172	0	6.63019e-06	1.44566e-06	2.54236e-07	0.0200466	0.0200549
0.027	-0.000321523	-0.00282586	0.0999106	-0.00336882	0	1.99636e-06	1.70234e-05	2.58443e-07	0.0200464	0.0200657
0.028	-0.000324492	-0.00316714	0.0999073	-0.00320814	0	2.50769e-06	1.54382e-05	2.63237e-07	0.0200464	0.0200646
0.029	-0.000322879	0.00141421	0.099903	-0.0042521	0	4.99995e-07	2.71206e-05	2.60627e-07	0.0200452	0.0200731
0.03	-0.000322771	-9.07674e-05	0.0999005	-0.00247854	0	2.05968e-09	9.21474e-06	2.60453e-07	0.0200447	0.0200542
0.031	-0.000317313	0.00525957	0.0998979	-0.00259181	0	6.91576e-06	1.00762e-05	2.51718e-07	0.0200431	0.0200603
0.032	-0.000310692	0.00642225	0.0998942	-0.00361195	0	1.03113e-05	1.95692e-05	2.41324e-07	0.020041	0.0200711
0.033	-0.000300973	0.00952064	0.0998904	-0.00379789	0	2.26607e-05	2.16359e-05	2.26461e-07	0.0200383	0.0200828
0.034	-0.000291132	0.00964131	0.0998854	-0.00498356	0	2.32387e-05	3.72537e-05	2.11895e-07	0.0200353	0.020096
0.035	-0.000287162	0.00377199	0.0998767	-0.0086236	0	3.55698e-06	0.00011155	2.06155e-07	0.0200328	0.0201481
0.036	-0.000279935	0.00702754	0.0998727	-0.00403797	0	1.23466e-05	2.44577e-05	1.9591e-07	0.0200305	0.0200675
0.037	-0.000269466	0.0102711	0.0998677	-0.00492727	0	2.63737e-05	3.6417e-05	1.81529e-07	0.0200274	0.0200904
0.038	-0.000260321	0.00894583	0.0998649	-0.00274735	0	2.0007e-05	1.13219e-05	1.69418e-07	0.0200251	0.0200566
0.039	-0.000248217	0.0119048	0.0998648	-9.61942e-05	0	3.54308e-05	1.388e-08	1.5403e-07	0.0200226	0.0200582
0.04	-0.000239641	0.00837734	0.0998627	-0.00206457	0	1.75449e-05	6.3937e-06	1.4357e-07	0.0200205	0.0200446
